model-1702778600,1702778602.022,0.53,0.2495,0.48,0.2528
model-1702778600,1702778602.361,0.47,0.2534,0.46,0.2509
model-1702778600,1702778602.687,0.4,0.2516,0.48,0.2506
model-1702778600,1702778603.014,0.5,0.2496,0.48,0.2506
model-1702778600,1702778603.337,0.48,0.2504,0.48,0.2504
model-1702778600,1702778603.66,0.47,0.2504,0.49,0.2501
model-1702778600,1702778603.985,0.39,0.2516,0.57,0.2498
model-1702778600,1702778604.313,0.48,0.2499,0.57,0.2497
model-1702778600,1702778604.644,0.55,0.2497,0.48,0.2497
model-1702778600,1702778604.969,0.56,0.2496,0.5,0.2497
model-1702778600,1702778605.301,0.61,0.2484,0.49,0.2501
model-1702778600,1702778605.638,0.55,0.2477,0.48,0.2512
model-1702778600,1702778605.969,0.49,0.2494,0.48,0.2522
model-1702778600,1702778606.303,0.49,0.2525,0.49,0.2521
model-1702778600,1702778606.647,0.56,0.2465,0.47,0.2523
model-1702778600,1702778606.977,0.45,0.253,0.5,0.2517
model-1702778600,1702778607.312,0.59,0.2478,0.48,0.2522
model-1702778600,1702778607.645,0.53,0.248,0.46,0.2538
model-1702778600,1702778607.983,0.54,0.2469,0.46,0.2548
model-1702778600,1702778608.32,0.39,0.2581,0.5,0.2518
model-1702778600,1702778608.651,0.51,0.2485,0.48,0.2512
model-1702778600,1702778608.985,0.58,0.2485,0.49,0.252
model-1702778600,1702778609.32,0.48,0.2511,0.48,0.2518
model-1702778600,1702778609.657,0.5,0.2486,0.48,0.2511
model-1702778600,1702778609.993,0.46,0.2529,0.49,0.2502
model-1702778600,1702778610.332,0.54,0.2457,0.48,0.2495
model-1702778600,1702778610.677,0.54,0.2449,0.5,0.2488
model-1702778600,1702778611.022,0.64,0.2421,0.5,0.2486
model-1702778600,1702778611.386,0.48,0.2507,0.56,0.2475
model-1702778600,1702778611.731,0.62,0.2418,0.57,0.247
model-1702778600,1702778612.115,0.51,0.2501,0.56,0.2458
model-1702778600,1702778612.46,0.63,0.2381,0.58,0.2457
model-1702778600,1702778612.805,0.56,0.2488,0.51,0.2481
model-1702778600,1702778613.151,0.58,0.2431,0.48,0.256
model-1702778600,1702778613.497,0.53,0.2488,0.48,0.255
model-1702778600,1702778613.841,0.46,0.2599,0.52,0.2477
model-1702778600,1702778614.193,0.6,0.2459,0.54,0.2445
model-1702778600,1702778614.537,0.6,0.2419,0.57,0.2459
model-1702778600,1702778614.881,0.51,0.2477,0.57,0.2454
model-1702778600,1702778615.236,0.51,0.2493,0.63,0.2427
model-1702778600,1702778615.596,0.62,0.2395,0.62,0.2407
model-1702778600,1702778615.947,0.62,0.2361,0.6,0.2387
model-1702778600,1702778616.297,0.54,0.2444,0.61,0.2373
model-1702778600,1702778616.665,0.57,0.2471,0.6,0.2363
model-1702778600,1702778617.011,0.68,0.2339,0.61,0.2376
model-1702778600,1702778617.366,0.7,0.2307,0.58,0.2398
model-1702778600,1702778617.721,0.52,0.257,0.6,0.2389
model-1702778600,1702778618.082,0.57,0.2432,0.55,0.2398
model-1702778600,1702778618.435,0.55,0.2484,0.57,0.2416
model-1702778600,1702778618.791,0.65,0.238,0.59,0.2457
model-1702778600,1702778619.148,0.54,0.2497,0.62,0.2413
model-1702778600,1702778619.505,0.57,0.2403,0.56,0.234
model-1702778600,1702778619.862,0.6,0.2313,0.62,0.2291
model-1702778600,1702778620.304,0.65,0.2341,0.64,0.2276
model-1702778600,1702778620.724,0.56,0.2391,0.67,0.2282
model-1702778600,1702778621.127,0.59,0.2389,0.62,0.2302
model-1702778600,1702778621.526,0.59,0.2433,0.63,0.2324
model-1702778600,1702778621.902,0.57,0.2283,0.62,0.2304
model-1702778600,1702778622.318,0.71,0.2207,0.58,0.2306
model-1702778600,1702778622.678,0.66,0.2234,0.57,0.2314
model-1702778600,1702778623.047,0.66,0.2275,0.57,0.2318
model-1702778600,1702778623.404,0.65,0.2217,0.56,0.2347
model-1702778600,1702778623.765,0.56,0.2291,0.56,0.2318
model-1702778600,1702778624.13,0.71,0.2188,0.6,0.2343
model-1702778600,1702778624.486,0.53,0.2543,0.57,0.2297
model-1702778600,1702778624.851,0.73,0.1939,0.59,0.2254
model-1702778600,1702778625.222,0.54,0.2588,0.59,0.2214
model-1702778600,1702778625.592,0.62,0.2245,0.64,0.2165
model-1702778600,1702778625.953,0.63,0.2382,0.62,0.2174
model-1702778600,1702778626.337,0.62,0.2229,0.62,0.2198
model-1702778600,1702778626.728,0.62,0.2186,0.63,0.2132
model-1702778600,1702778627.091,0.6,0.2156,0.63,0.2156
model-1702778600,1702778627.457,0.62,0.2236,0.61,0.2189
model-1702778600,1702778627.838,0.68,0.2086,0.6,0.2203
model-1702778600,1702778628.22,0.56,0.254,0.61,0.2246
model-1702778600,1702778628.585,0.65,0.2312,0.62,0.241
model-1702778600,1702778628.952,0.6,0.2566,0.64,0.2344
model-1702778600,1702778629.325,0.63,0.2447,0.62,0.2194
model-1702778600,1702778629.694,0.63,0.2164,0.65,0.2171
model-1702778600,1702778630.081,0.58,0.2404,0.58,0.2276
model-1702778600,1702778630.455,0.59,0.2243,0.59,0.2291
model-1702778600,1702778630.836,0.63,0.2324,0.61,0.2263
model-1702778600,1702778631.207,0.65,0.2239,0.63,0.2241
model-1702778600,1702778631.604,0.66,0.2198,0.63,0.2224
model-1702778600,1702778631.979,0.59,0.2376,0.59,0.2221
model-1702778600,1702778632.393,0.6,0.2407,0.59,0.2229
model-1702778600,1702778632.782,0.67,0.2209,0.59,0.2232
model-1702778600,1702778633.157,0.69,0.2159,0.6,0.2237
model-1702778600,1702778633.538,0.63,0.2291,0.62,0.2233
model-1702778600,1702778633.913,0.67,0.2167,0.61,0.2214
model-1702778600,1702778634.317,0.63,0.2292,0.64,0.2199
model-1702778600,1702778634.701,0.63,0.2196,0.66,0.2216
model-1702778600,1702778635.077,0.6,0.2217,0.63,0.2222
model-1702778600,1702778635.455,0.56,0.2527,0.62,0.2208
model-1702778600,1702778635.841,0.62,0.2201,0.61,0.222
model-1702778600,1702778636.233,0.55,0.2477,0.58,0.2233
model-1702778600,1702778636.636,0.64,0.2213,0.64,0.2236
model-1702778600,1702778637.008,0.6,0.2423,0.65,0.2207
model-1702778600,1702778637.389,0.62,0.2223,0.62,0.2151
model-1702778600,1702778637.767,0.61,0.226,0.6,0.2117
model-1702778600,1702778638.148,0.62,0.2367,0.62,0.2121
model-1702778600,1702778638.536,0.71,0.2122,0.62,0.2131
model-1702778600,1702778638.914,0.57,0.2435,0.63,0.2131
model-1702778600,1702778639.296,0.58,0.231,0.62,0.2147
model-1702778600,1702778639.675,0.6,0.2421,0.65,0.2179
model-1702778600,1702778640.063,0.69,0.2135,0.66,0.2185
model-1702778600,1702778640.447,0.69,0.1957,0.64,0.2197
model-1702778600,1702778640.839,0.6,0.2401,0.64,0.2191
model-1702778600,1702778641.224,0.66,0.2124,0.67,0.217
model-1702778600,1702778641.637,0.61,0.2332,0.63,0.2146
model-1702778600,1702778642.026,0.61,0.2249,0.63,0.2164
model-1702778600,1702778642.408,0.64,0.226,0.62,0.217
model-1702778600,1702778642.863,0.64,0.2283,0.62,0.2158
model-1702778600,1702778643.252,0.62,0.2171,0.65,0.2134
model-1702778600,1702778643.641,0.6,0.2358,0.66,0.2128
model-1702778600,1702778644.021,0.72,0.1904,0.67,0.2122
model-1702778600,1702778644.419,0.66,0.2002,0.62,0.2135
model-1702778600,1702778644.807,0.72,0.2113,0.61,0.2179
model-1702778600,1702778645.192,0.57,0.232,0.6,0.2212
model-1702778600,1702778645.582,0.66,0.2227,0.61,0.2254
model-1702778600,1702778645.98,0.67,0.2048,0.59,0.2291
model-1702778600,1702778646.379,0.72,0.2043,0.59,0.234
model-1702778600,1702778646.776,0.69,0.2067,0.6,0.2356
model-1702778600,1702778647.162,0.63,0.2298,0.61,0.2309
model-1702778600,1702778647.544,0.61,0.233,0.6,0.2217
model-1702778600,1702778647.932,0.66,0.1969,0.65,0.2221
model-1702778600,1702778648.32,0.67,0.2073,0.66,0.2243
model-1702778600,1702778648.713,0.71,0.1979,0.65,0.2146
model-1702778600,1702778649.106,0.61,0.2309,0.65,0.2029
model-1702778600,1702778649.492,0.61,0.219,0.63,0.2114
model-1702778600,1702778649.878,0.6,0.2255,0.63,0.2196
model-1702778600,1702778650.262,0.52,0.2767,0.64,0.2098
model-1702778600,1702778650.659,0.63,0.2169,0.67,0.2053
model-1702778600,1702778651.055,0.7,0.2258,0.65,0.2084
model-1702778600,1702778651.474,0.68,0.1927,0.66,0.2247
model-1702778600,1702778651.864,0.73,0.1873,0.62,0.2379
model-1702778600,1702778652.247,0.51,0.2559,0.64,0.2263
model-1702778600,1702778652.653,0.63,0.2374,0.62,0.2141
model-1702778600,1702778653.088,0.75,0.2071,0.65,0.2183
model-1702778600,1702778653.476,0.67,0.2183,0.64,0.2324
model-1702778600,1702778653.859,0.58,0.2416,0.62,0.2409
model-1702778600,1702778654.234,0.5,0.2733,0.63,0.2371
model-1702778600,1702778654.598,0.5,0.2704,0.65,0.2292
model-1702778600,1702778654.966,0.63,0.2256,0.64,0.2241
model-1702778600,1702778655.331,0.59,0.2286,0.67,0.2214
model-1702778600,1702778655.687,0.62,0.2329,0.62,0.2206
model-1702778600,1702778656.151,0.63,0.2273,0.65,0.2204
model-1702778600,1702778656.526,0.67,0.2263,0.7,0.2206
model-1702778600,1702778656.88,0.69,0.2144,0.7,0.2207
model-1702778600,1702778657.237,0.66,0.2279,0.7,0.2203
model-1702778600,1702778657.59,0.64,0.2374,0.7,0.2195
model-1702778600,1702778657.944,0.72,0.2171,0.7,0.219
model-1702778600,1702778658.307,0.58,0.2417,0.67,0.2164
model-1702778600,1702778658.659,0.58,0.2421,0.68,0.2136
model-1702778600,1702778659.024,0.68,0.2224,0.68,0.2121
model-1702778600,1702778659.381,0.6,0.2365,0.71,0.2116
model-1702778600,1702778659.733,0.6,0.2251,0.72,0.2113
model-1702778600,1702778660.092,0.63,0.232,0.7,0.2101
model-1702778600,1702778660.452,0.7,0.213,0.68,0.2088
model-1702778600,1702778660.809,0.66,0.2062,0.66,0.2079
model-1702778600,1702778661.167,0.71,0.2029,0.67,0.2072
model-1702778600,1702778661.552,0.68,0.2137,0.65,0.207
model-1702778600,1702778661.902,0.71,0.2029,0.66,0.2122
model-1702778600,1702778662.262,0.6,0.2324,0.66,0.2187
model-1702778600,1702778662.619,0.65,0.2179,0.64,0.2261
model-1702778600,1702778663.024,0.5,0.2734,0.64,0.2231
model-1702778600,1702778663.381,0.67,0.2196,0.66,0.2173
model-1702778600,1702778663.735,0.63,0.2211,0.68,0.2104
model-1702778600,1702778664.093,0.64,0.2345,0.68,0.2115
model-1702778600,1702778664.454,0.61,0.2351,0.66,0.2136
model-1702778600,1702778664.815,0.65,0.2182,0.66,0.2154
model-1702778600,1702778665.172,0.59,0.2283,0.65,0.2136
model-1702778600,1702778665.54,0.64,0.2235,0.65,0.2094
model-1702778600,1702778665.897,0.61,0.233,0.62,0.2073
model-1702778600,1702778666.256,0.74,0.1941,0.65,0.2081
model-1702778600,1702778666.636,0.74,0.198,0.7,0.2112
model-1702778600,1702778666.996,0.66,0.2244,0.7,0.2117
model-1702778600,1702778667.353,0.7,0.2061,0.69,0.2095
model-1702778600,1702778667.713,0.66,0.2111,0.67,0.2065
model-1702778600,1702778668.072,0.68,0.2119,0.66,0.204
model-1702778600,1702778668.43,0.71,0.2004,0.66,0.2027
model-1702778600,1702778668.784,0.63,0.2354,0.66,0.2029
model-1702778600,1702778669.15,0.59,0.2375,0.67,0.2009
model-1702778600,1702778669.51,0.7,0.2017,0.72,0.1998
model-1702778600,1702778669.866,0.7,0.2154,0.69,0.2001
model-1702778600,1702778670.228,0.73,0.1927,0.69,0.2049
model-1702778600,1702778670.588,0.58,0.2433,0.69,0.2002
model-1702778600,1702778670.947,0.73,0.1953,0.7,0.196
model-1702778600,1702778671.31,0.68,0.2064,0.67,0.2032
model-1702778600,1702778671.693,0.67,0.2216,0.68,0.2075
model-1702778600,1702778672.05,0.64,0.2272,0.65,0.2116
model-1702778600,1702778672.419,0.59,0.2625,0.65,0.2095
model-1702778600,1702778672.78,0.65,0.222,0.68,0.2097
model-1702778600,1702778673.197,0.69,0.2015,0.67,0.2133
model-1702778600,1702778673.557,0.74,0.1791,0.66,0.2168
model-1702778600,1702778673.915,0.68,0.2155,0.68,0.216
model-1702778600,1702778674.284,0.65,0.2218,0.61,0.2111
model-1702778600,1702778674.644,0.63,0.22,0.61,0.2107
model-1702778600,1702778675.005,0.62,0.2268,0.61,0.2112
model-1702778600,1702778675.364,0.63,0.2142,0.61,0.2091
model-1702778600,1702778675.729,0.67,0.2045,0.64,0.209
model-1702778600,1702778676.091,0.72,0.2091,0.64,0.2098
model-1702778600,1702778676.488,0.7,0.2012,0.64,0.2097
model-1702778600,1702778676.847,0.63,0.2218,0.67,0.2093
model-1702778600,1702778677.217,0.66,0.1974,0.66,0.2096
model-1702778600,1702778677.583,0.66,0.2195,0.65,0.2096
model-1702778600,1702778677.954,0.66,0.1887,0.63,0.214
model-1702778600,1702778678.318,0.75,0.1931,0.61,0.2181
model-1702778600,1702778678.686,0.7,0.2021,0.61,0.22
model-1702778600,1702778679.05,0.72,0.2028,0.63,0.2177
model-1702778600,1702778679.419,0.64,0.2386,0.69,0.2073
model-1702778600,1702778679.784,0.68,0.194,0.69,0.2099
model-1702778600,1702778680.167,0.77,0.1869,0.68,0.2054
model-1702778600,1702778680.534,0.74,0.1832,0.7,0.2016
model-1702778600,1702778680.897,0.7,0.207,0.7,0.1939
model-1702778600,1702778681.272,0.64,0.2167,0.73,0.195
model-1702778600,1702778681.664,0.68,0.1973,0.69,0.2107
model-1702778600,1702778682.027,0.68,0.2233,0.71,0.2149
model-1702778600,1702778682.395,0.75,0.1953,0.67,0.219
model-1702778600,1702778682.766,0.65,0.2591,0.59,0.2581
model-1702778600,1702778683.15,0.59,0.2456,0.63,0.2361
model-1702778600,1702778683.548,0.62,0.2363,0.67,0.2095
model-1702778600,1702778683.914,0.7,0.1942,0.68,0.215
model-1702778600,1702778684.276,0.66,0.2241,0.65,0.223
model-1702778600,1702778684.545,0.71,0.2041,0.63,0.2191
model-1702778600,1702778684.91,0.59,0.2425,0.65,0.206
model-1702778600,1702778685.287,0.72,0.1916,0.7,0.2038
model-1702778600,1702778685.689,0.76,0.179,0.69,0.2212
model-1702778600,1702778686.108,0.66,0.2062,0.68,0.2265
model-1702778600,1702778686.547,0.61,0.2347,0.67,0.2192
model-1702778600,1702778686.967,0.63,0.2116,0.65,0.21
model-1702778600,1702778687.368,0.74,0.1861,0.64,0.2079
model-1702778600,1702778687.783,0.66,0.2,0.6,0.2102
model-1702778600,1702778688.185,0.71,0.2119,0.63,0.2113
model-1702778600,1702778688.598,0.66,0.1957,0.64,0.2104
model-1702778600,1702778688.99,0.7,0.2063,0.67,0.2127
model-1702778600,1702778689.404,0.69,0.2014,0.65,0.2204
model-1702778600,1702778689.828,0.74,0.2055,0.62,0.2277
model-1702778600,1702778690.242,0.65,0.2288,0.62,0.2282
model-1702778600,1702778690.649,0.7,0.1923,0.63,0.2261
model-1702778600,1702778691.061,0.62,0.2331,0.67,0.2168
model-1702778600,1702778691.483,0.68,0.2184,0.69,0.208
model-1702778600,1702778691.893,0.77,0.1975,0.68,0.204
model-1702778600,1702778692.29,0.68,0.2003,0.67,0.2039
model-1702778600,1702778692.71,0.68,0.2262,0.68,0.2038
model-1702778600,1702778693.1,0.73,0.1957,0.69,0.2027
model-1702778600,1702778693.571,0.71,0.1957,0.67,0.2012
model-1702778600,1702778693.968,0.69,0.1985,0.69,0.2009
model-1702778600,1702778694.379,0.73,0.1864,0.68,0.2007
model-1702778600,1702778694.771,0.76,0.1949,0.7,0.2008
model-1702778600,1702778695.184,0.74,0.1857,0.69,0.2002
model-1702778600,1702778695.601,0.74,0.1813,0.67,0.2005
model-1702778600,1702778696.016,0.78,0.1589,0.65,0.2023
model-1702778600,1702778696.438,0.69,0.1938,0.66,0.1993
model-1702778600,1702778696.86,0.77,0.1646,0.67,0.199
model-1702778600,1702778697.259,0.72,0.1808,0.66,0.2
model-1702778600,1702778697.668,0.67,0.2078,0.66,0.2067
model-1702778600,1702778698.071,0.73,0.1735,0.63,0.2161
model-1702778600,1702778698.483,0.73,0.1925,0.63,0.227
model-1702778600,1702778698.879,0.71,0.2034,0.63,0.2224
model-1702778600,1702778699.29,0.75,0.1815,0.67,0.2113
model-1702778600,1702778699.686,0.72,0.1953,0.68,0.2026
model-1702778600,1702778700.101,0.71,0.1906,0.69,0.2002
model-1702778600,1702778700.507,0.71,0.1896,0.69,0.1994
model-1702778600,1702778700.916,0.7,0.1981,0.68,0.1975
model-1702778600,1702778701.318,0.67,0.1982,0.69,0.1936
model-1702778600,1702778701.761,0.71,0.1777,0.7,0.1919
model-1702778600,1702778702.162,0.72,0.1961,0.7,0.1912
model-1702778600,1702778702.58,0.73,0.1863,0.71,0.1919
model-1702778600,1702778702.985,0.73,0.1842,0.7,0.1973
model-1702778600,1702778703.402,0.74,0.1978,0.68,0.2025
model-1702778600,1702778703.866,0.65,0.2222,0.69,0.198
model-1702778600,1702778704.284,0.71,0.2159,0.74,0.1934
model-1702778600,1702778704.696,0.65,0.2261,0.71,0.1913
model-1702778600,1702778705.11,0.7,0.2037,0.7,0.1922
model-1702778600,1702778705.522,0.63,0.216,0.7,0.1889
model-1702778600,1702778705.942,0.67,0.2118,0.75,0.1857
model-1702778600,1702778706.356,0.66,0.2059,0.71,0.1909
model-1702778600,1702778706.798,0.77,0.1765,0.69,0.1957
model-1702778600,1702778707.198,0.72,0.2002,0.67,0.2003
model-1702778600,1702778707.621,0.74,0.1694,0.66,0.1995
model-1702778600,1702778708.03,0.66,0.2099,0.68,0.1953
model-1702778600,1702778708.461,0.71,0.1817,0.71,0.1856
model-1702778600,1702778708.866,0.84,0.1514,0.72,0.1815
model-1702778600,1702778709.286,0.75,0.175,0.69,0.1787
model-1702778600,1702778709.688,0.72,0.1988,0.72,0.1772
model-1702778600,1702778710.197,0.71,0.1886,0.72,0.1772
model-1702778600,1702778710.604,0.71,0.1827,0.73,0.1782
model-1702778600,1702778711.022,0.68,0.1978,0.68,0.1862
model-1702778600,1702778711.457,0.69,0.1996,0.7,0.1918
model-1702778600,1702778711.871,0.74,0.1726,0.67,0.2041
model-1702778600,1702778712.273,0.65,0.2194,0.67,0.2071
model-1702778600,1702778712.692,0.72,0.1748,0.68,0.1992
model-1702778600,1702778713.103,0.71,0.1882,0.69,0.1894
model-1702778600,1702778713.521,0.72,0.1996,0.69,0.1838
model-1702778600,1702778713.978,0.71,0.1957,0.7,0.1803
model-1702778600,1702778714.401,0.75,0.1854,0.7,0.1792
model-1702778600,1702778714.803,0.74,0.1641,0.67,0.1873
model-1702778600,1702778715.221,0.76,0.177,0.67,0.198
model-1702778600,1702778715.636,0.64,0.2375,0.69,0.1842
model-1702778600,1702778716.052,0.72,0.1995,0.75,0.1767
model-1702778600,1702778716.482,0.68,0.2158,0.72,0.1834
model-1702778600,1702778716.903,0.69,0.2186,0.7,0.1785
model-1702778600,1702778717.31,0.64,0.198,0.72,0.1724
model-1702778600,1702778717.726,0.68,0.2143,0.68,0.1915
model-1702778600,1702778718.159,0.73,0.179,0.66,0.2009
model-1702778600,1702778718.574,0.74,0.1673,0.66,0.197
model-1702778600,1702778718.977,0.73,0.1751,0.67,0.1928
model-1702778600,1702778719.409,0.74,0.1826,0.7,0.1888
model-1702778600,1702778720.491,0.76,0.1822,0.73,0.185
model-1702778600,1702778720.933,0.7,0.2015,0.74,0.1821
model-1702778600,1702778721.379,0.76,0.1705,0.73,0.1802
model-1702778600,1702778722.082,0.75,0.1793,0.72,0.1797
